source_id,target_id,relationship_type
DET0052,AN0143,has_analytic
S1149,T1053.005,uses
M1013,T1550,mitigates
DET0190,AN0547,has_analytic
M1022,T1037.005,mitigates
DET0574,AN1586,has_analytic
G0100,T1218.005,uses
AN1308,DC0082,monitors_data_component
DET0010,T1546,detects
DET0550,T1213.004,detects
G0044,T1057,uses
S0640,T1614.001,uses
AN0142,DC0061,monitors_data_component
S0251,T1012,uses
S1012,T1005,uses
C0034,T1572,uses
G0139,T1036.005,uses
S1017,T1041,uses
G0092,T1588.001,uses
G0056,T1204.002,uses
AN0861,DC0058,monitors_data_component
DET0011,T1001.001,detects
AN1216,DC0039,monitors_data_component
AN2013,DC0104,monitors_data_component
AN0826,DC0078,monitors_data_component
C0057,T1546.016,uses
M1053,T1561.001,mitigates
S0363,T1047,uses
AN2008,DC0052,monitors_data_component
C0057,T1027,uses
S0514,T1059.003,uses
S9009,T1552.001,uses
AN0055,DC0032,monitors_data_component
G1018,S0331,uses
AN1059,DC0085,monitors_data_component
S0192,T1114.001,uses
C0024,T1552.004,uses
S0673,T1070.004,uses
S0689,T1569.002,uses
S0575,T1018,uses
M1024,T1037,mitigates
G1015,T1564.008,uses
S0126,T1012,uses
AN1288,DC0039,monitors_data_component
M1042,T1127,mitigates
S0581,T1036.004,uses
S0444,T1574,uses
T1499.002,T1499,subtechnique_of
S0652,T1547.009,uses
DET0498,T1134.003,detects
S1047,T1012,uses
G0077,T1189,uses
C0029,T1056.003,uses
G0069,S1035,uses
D3-PM,D3-TAC-DETECT,belongs_to_tactic
AN1280,DC0032,monitors_data_component
S0266,T1132.001,uses
S0115,T1012,uses
S0011,T1057,uses
S1012,T1105,uses
AN0747,DC0032,monitors_data_component
S0612,T1083,uses
G1054,T1087.002,uses
D3-FBA,DA-FIRMWARE,analyzes
S0515,T1573.002,uses
S1207,T1497,uses
S0142,T1218.011,uses
M1056,T1590.003,mitigates
AN0656,DC0032,monitors_data_component
DET0445,AN1231,has_analytic
M1030,T1048.003,mitigates
G0125,T1584.005,uses
AN1032,DC0039,monitors_data_component
DET0217,T1055.011,detects
S0070,T1083,uses
S0147,T1140,uses
C0063,T1083,uses
S0240,T1112,uses
G1052,T1588.002,uses
AN0439,DC0085,monitors_data_component
G0078,S0262,uses
G0093,T1574.001,uses
G0016,S0588,uses
S1242,T1112,uses
AN0967,DC0032,monitors_data_component
S0447,T1105,uses
S0353,T1680,uses
S0363,T1016,uses
G0013,S0031,uses
G1039,T1056.002,uses
DET0592,T1602,detects
C0016,S0086,uses
AN0511,DC0032,monitors_data_component
AN0822,DC0035,monitors_data_component
S0688,T1047,uses
AN1464,DC0082,monitors_data_component
G0096,T1596.005,uses
AN1320,DC0085,monitors_data_component
DET0875,T1588.003,detects
OA-ACCESS-TOKEN,T1134.002,copies
AN0766,DC0061,monitors_data_component
DET0833,T1587.002,detects
G0069,T1049,uses
AN0293,DC0055,monitors_data_component
S0532,T1059.003,uses
S0239,T1134.002,uses
AN0215,DC0069,monitors_data_component
S1022,T1056.003,uses
DET0011,AN0033,has_analytic
G0125,S0073,uses
S0680,T1106,uses
S1066,T1105,uses
S0446,T1134,uses
S1048,T1027.008,uses
OA-GET-OPEN-WINDOWS,T1010,may-invoke
DET0528,AN1464,has_analytic
G0077,T1059.007,uses
G0062,T1059.005,uses
AN0368,DC0078,monitors_data_component
S0363,T1548.002,uses
S0499,T1027,uses
G0035,S0108,uses
D3-LFP,D3-TAC-ISOLATE,belongs_to_tactic
S0570,T1486,uses
G1051,T1657,uses
DET0102,AN0284,has_analytic
G1031,T1583.006,uses
AN0516,DC0032,monitors_data_component
C0022,T1614.001,uses
AN0744,DC0080,monitors_data_component
AN0256,DC0064,monitors_data_component
S1190,T1112,uses
DET0348,T1041,detects
AN0184,DC0065,monitors_data_component
S1119,T1071.001,uses
DET0199,T1673,detects
G0081,T1059.003,uses
AN0696,DC0064,monitors_data_component
S1180,T1112,uses
C0002,T1033,uses
AN1317,DC0072,monitors_data_component
S0689,T1497.003,uses
C0016,T1036,uses
S1119,T1140,uses
S0599,T1057,uses
S0277,T1027.010,uses
C0063,T1090,uses
AN1201,DC0083,monitors_data_component
AN0755,DC0032,monitors_data_component
DET0146,T1485,detects
AN1402,DC0061,monitors_data_component
G0050,T1550.003,uses
G1048,T1205.001,uses
M1037,T1095,mitigates
S0239,T1203,uses
S1109,T1119,uses
AN0197,DC0085,monitors_data_component
G1038,S1160,uses
S0622,T1106,uses
AN1284,DC0088,monitors_data_component
AN0633,DC0032,monitors_data_component
M1026,T1059.009,mitigates
S9015,T1041,uses
S0199,T1113,uses
S0223,T1132.001,uses
AN0942,DC0039,monitors_data_component
AN0627,DC0038,monitors_data_component
M1013,T1496.003,mitigates
AN0169,DC0078,monitors_data_component
AN0181,DC0032,monitors_data_component
C0013,T1587.001,uses
DET0262,AN0729,has_analytic
S9010,T1027.013,uses
S9019,T1573.002,uses
S0533,T1001,uses
AN1551,DC0082,monitors_data_component
G0034,S1189,uses
G0006,T1566.001,uses
DA-CONFIGURATION-RESOURCE,OA-GROUP-POLICY,targets
AN1179,DC0085,monitors_data_component
DET0227,AN0634,has_analytic
S0608,T1021.002,uses
S0667,T1680,uses
S0568,T1547.001,uses
S0533,T1033,uses
G0112,T1518,uses
S0439,T1134.001,uses
AN1517,DC0032,monitors_data_component
DET0347,AN0984,has_analytic
S0140,T1548.002,uses
S0667,T1082,uses
G0051,T1059.003,uses
C0048,T1190,uses
S1178,T1016,uses
OA-CREATE-SOCKET,T1018,may-invoke
S0513,T1012,uses
S1091,T1555.006,uses
G0022,T1021.002,uses
S0439,T1041,uses
DET0560,AN1545,has_analytic
S0431,T1105,uses
S1201,T1012,uses
G0020,T1120,uses
S0278,T1056.002,uses
S0612,T1012,uses
S9016,T1027.001,uses
DET0380,AN1074,has_analytic
S0662,T1057,uses
S1044,T1059.003,uses
T1212,TA0006,belongs_to_tactic
AN1037,DC0018,monitors_data_component
M1026,T1505.002,mitigates
S0603,T1021.002,uses
S0451,T1105,uses
S0378,T1548.002,uses
DET0494,AN1360,has_analytic
G1036,T1587.001,uses
S0153,T1547.009,uses
S0375,T1113,uses
G1017,T1120,uses
S1100,T1016,uses
S1104,T1074.001,uses
AN1232,DC0078,monitors_data_component
S9010,T1074.001,uses
C0058,T1027.010,uses
S0167,T1113,uses
S1140,T1105,uses
AN0558,DC0032,monitors_data_component
S0667,T1027.013,uses
S0461,T1059.003,uses
AN0861,DC0098,monitors_data_component
M1031,T1204.005,mitigates
DET0399,AN1118,has_analytic
S0113,T1113,uses
S9011,T1205,uses
G0127,T1027.010,uses
M1049,T1566.001,mitigates
G0102,T1087.002,uses
G0082,T1059.005,uses
G0025,T1583.006,uses
AN0713,DC0032,monitors_data_component
G1054,T1574.001,uses
G0128,T1036.004,uses
S1149,T1140,uses
S9037,T1027.013,uses
G0098,T1574.001,uses
S0045,T1218.011,uses
DET0549,AN1519,has_analytic
S0395,T1020,uses
AN0551,DC0064,monitors_data_component
G1014,S0154,uses
G1054,T1047,uses
G0045,T1027.013,uses
G0067,T1559.002,uses
G0128,T1082,uses
D3-FV,D3-TAC-DETECT,belongs_to_tactic
S1159,T1113,uses
T1496.004,TA0040,belongs_to_tactic
S0352,T1036.004,uses
G0125,T1033,uses
C0025,S0604,uses
M1028,T1556.002,mitigates
S1239,T1497.002,uses
T1127.002,T1127,subtechnique_of
T1055.001,TA0004,belongs_to_tactic
AN0645,DC0032,monitors_data_component
G1054,T1059.003,uses
AN0335,DC0002,monitors_data_component
S0340,T1005,uses
C0034,T1543.002,uses
S0360,T1053.005,uses
AN0201,DC0007,monitors_data_component
S1159,T1082,uses
T1222,TA0112,belongs_to_tactic
G1032,T1135,uses
G1048,T1505.006,uses
S0547,T1102,uses
T1218.014,T1218,subtechnique_of
S0353,T1082,uses
C0048,T1071.001,uses
AN1069,DC0038,monitors_data_component
S0416,T1070.004,uses
AN1255,DC0082,monitors_data_component
AN0823,DC0063,monitors_data_component
DET0266,AN0738,has_analytic
S0649,T1105,uses
S0600,T1102,uses
S1212,T1490,uses
AN1315,DC0032,monitors_data_component
G1055,T1657,uses
S0083,T1070.004,uses
S0515,T1033,uses
G0093,T1588.002,uses
G1026,T1555.003,uses
AN1154,DC0055,monitors_data_component
S0368,T1021.002,uses
M1032,T1133,mitigates
S0385,T1091,uses
S0343,T1543.003,uses
AN1610,DC0039,monitors_data_component
S9018,T1027.013,uses
S1153,T1057,uses
S0477,T1071.001,uses
T1027.006,T1027,subtechnique_of
S0064,T1083,uses
S0409,T1125,uses
S0141,T1573.001,uses
T1542.002,T1542,subtechnique_of
S1063,T1036.005,uses
G0098,T1203,uses
S0592,T1105,uses
G0073,T1218.010,uses
S0376,T1041,uses
S0455,T1082,uses
S0216,T1057,uses
S0366,T1018,uses
T1056.002,T1056,subtechnique_of
AN0425,DC0078,monitors_data_component
S9010,T1678,uses
G1015,T1082,uses
OA-GET-SYSTEM-TIME,T1497.003,may-invoke
M1042,T1218.009,mitigates
DET0586,T1003.003,detects
OA-INBOUND-INTERNET-NETWORK-TRAFFIC,T1499.002,produces
DET0810,AN1942,has_analytic
AN0328,DC0038,monitors_data_component
AN1274,DC0085,monitors_data_component
S1235,T1574.001,uses
G0026,S0124,uses
C0040,T1594,uses
G0099,S0332,uses
S0340,T1105,uses
S1233,T1027.013,uses
G1003,S1040,uses
OA-SYSTEM-CONFIGURATION-DATABASE-RECORD,T1546.002,modifies
G0016,S0518,uses
T1564.006,T1564,subtechnique_of
DET0895,T1583,detects
S0338,T1113,uses
G0069,T1047,uses
S0623,T1106,uses
G0012,T1057,uses
AN0137,DC0039,monitors_data_component
G0034,T1486,uses
S9032,T1056.002,uses
S0055,T1105,uses
S0414,T1218.005,uses
S1182,T1016,uses
DA-SESSION,OA-REMOTE-SESSION,targets
C0001,T1221,uses
