source_id,target_id,relationship_type
T1650,Resource Development,belongs_to_tactic
C0040,T1102,uses
S0073,T1505.003,uses
G1021,S0154,uses
S0267,T1016,uses
D3-PROCESS-SELF-MODIFICATION-DETECTION,D3-TAC-DETECT,belongs_to_tactic
M1038,T1059.007,mitigates
S1070,T1027.001,uses
S0640,T1059.007,uses
OA-OPERATING-SYSTEM-CONFIGURATION-FILE,T1556.003,may-modify
S0349,T1003.001,uses
S1170,T1106,uses
G1039,T1114.001,uses
M1041,T1114.002,mitigates
T1021.002,Lateral Movement,belongs_to_tactic
G1052,T1566.003,uses
S1114,T1205,uses
S0230,T1082,uses
G0032,T1564.001,uses
S0234,T1113,uses
S1150,T1489,uses
S1099,T1027,uses
C0017,T1134,uses
C0047,T1204.002,uses
S0387,T1070.006,uses
S0492,T1140,uses
G1008,T1082,uses
S1031,T1140,uses
G0050,T1589,uses
OA-MAIL-SERVER,T1505.002,modifies
S0531,T1010,uses
S9023,T1140,uses
G0102,T1552.006,uses
S0443,T1119,uses
S0615,T1106,uses
G0121,T1119,uses
G1055,T1078.002,uses
S0082,T1105,uses
S1063,T1620,uses
S0234,T1083,uses
G1026,T1518.001,uses
G0049,T1056.001,uses
G0049,T1133,uses
S0344,T1552.001,uses
S1090,T1106,uses
S0386,T1041,uses
G1030,T1059.003,uses
S0679,T1059.005,uses
D3-CERTIFICATE-ANALYSIS,D3-TAC-DETECT,belongs_to_tactic
S0381,T1518.001,uses
S0140,T1070.006,uses
S0674,T1047,uses
G1055,T1074,uses
S0332,T1070.004,uses
G0056,T1189,uses
S1228,T1007,uses
G1052,T1082,uses
S1228,T1071.001,uses
S1168,T1140,uses
S0492,T1496.001,uses
M1047,T1542.004,mitigates
G1039,T1555.003,uses
S0373,T1129,uses
S0435,T1010,uses
G0103,T1204.002,uses
S0251,T1074.001,uses
S0367,T1218.010,uses
S0663,T1105,uses
S1181,T1135,uses
T1586.003,T1586,subtechnique_of
S1066,T1102,uses
S0251,T1070.004,uses
S1142,T1027.013,uses
C0058,T1585.002,uses
S0654,T1068,uses
G0126,T1059.005,uses
M1047,T1685.004,mitigates
T1037.001,T1037,subtechnique_of
S0074,T1070.004,uses
G1006,T1003.001,uses
