source_id,target_id,relationship_type
ZIG-ACT-4.5.1,T1190,mitigates
ZIG-ACT-7.4.3,T1530,mitigates
CM1147,ZIG-ACT-1.5.2,implements_activity
ZIG-ACT-4.4.3,T1039,mitigates
ZIG-ACT-5.2.4,T1071,mitigates
ZIG-ACT-1.3.1,T1080,mitigates
CM1121,ZIG-ACT-7.1.3,implements_activity
CM1104,T1053,mitigates
CREF-APP-5,T1542,mitigates_architecturally
ZIG-ACT-7.1.3,T1207,mitigates
M1030,T1563,mitigates
CM2029,ZIG-ACT-2.7.2,implements_activity
CSA-03,CREF-STU-11,embodies_principle
ZIG-ACT-7.2.4,T1078,mitigates
ZIG-ACT-4.3.2,T1140,mitigates
CREF-APP-11,CREF-EFFECT-12,has_effect
CREF-APP-30,T1092,mitigates_architecturally
ZIG-ACT-1.6.2,T1569,mitigates
CM1162,ZIG-ACT-7.2.1,implements_activity
ZIG-ACT-3.2.1,T1574,mitigates
CREF-APP-50,T1187,mitigates_architecturally
CM1114,T1052,mitigates
ZIG-ACT-4.6.2,T1496,mitigates
CM2033,CREF-APP-47,implements_approach
ZIG-ACT-2.7.2,T1210,mitigates
CM2040,ZIG-ACT-7.2.4,implements_activity
ZIG-ACT-4.5.1,T1609,mitigates
CM1151,T1071,mitigates
ZIG-ACT-5.3.1,T1106,mitigates
ZIG-ACT-7.2.4,T1102,mitigates
ZIG-ACT-2.3.3,T1489,mitigates
CREF-APP-4,T1008,mitigates_architecturally
CM2038,T1614,mitigates
CSA-08,CREF-STU-3,embodies_principle
ZIG-ACT-2.6.2,T1554,mitigates
ZIG-ACT-1.4.3,T1197,mitigates
M1029,ZIG-ACT-4.5.1,implements_activity
CREF-APP-29,T1133,mitigates_architecturally
ZIG-ACT-3.3.4,T1104,mitigates
CM2048,ZIG-ACT-6.7.1,implements_activity
ZIG-ACT-5.4.3,T1210,mitigates
CM1108,SC-7(20),satisfies_control
ZIG-ACT-5.2.4,T1599,mitigates
CM1142,ZIG-ACT-3.2.2,implements_activity
ZIG-ACT-3.3.4,T1014,mitigates
ZIG-ACT-2.4.2,T1484,mitigates
M1031,T1557,mitigates
ZIG-ACT-3.3.1,T1140,mitigates
ZIG-ACT-2.3.3,T1104,mitigates
ZIG-ACT-2.2.1,T1207,mitigates
ZIG-ACT-2.3.1,T1530,mitigates
CM1111,ZIG-ACT-3.2.1,implements_activity
ZIG-ACT-4.4.1,T1587,mitigates
ZIG-ACT-7.3.2,T1546,mitigates
ZIG-ACT-2.7.3,T1563,mitigates
ZIG-ACT-7.4.3,T1185,mitigates
ZIG-ACT-2.7.1,T1020,mitigates
CSA-10,CREF-STU-8,embodies_principle
CM1133,ZIG-ACT-1.5.1,implements_activity
ZIG-ACT-3.3.1,T1518,mitigates
CM1136,ZIG-ACT-4.4.5,implements_activity
ZIG-ACT-5.4.1,T1574,mitigates
ZIG-ACT-3.3.2,T1106,mitigates
ZIG-ACT-3.4.6,T1052,mitigates
ZIG-ACT-6.3.1,T1495,mitigates
M1046,ZIG-ACT-1.3.1,implements_activity
CREF-APP-13,T1197,mitigates_architecturally
CM1142,IR-4(2),satisfies_control
ZIG-ACT-5.4.3,T1547,mitigates
ZIG-ACT-7.2.4,T1555,mitigates
CM1113,T1048,mitigates
ZIG-ACT-7.2.3,T1120,mitigates
M1029,ZIG-ACT-2.1.4,implements_activity
ZIG-ACT-3.2.1,T1036,mitigates
CM1156,SC-30(3),satisfies_control
ZIG-ACT-4.5.1,T1614,mitigates
CREF-APP-47,T1482,mitigates_architecturally
CM1154,ZIG-ACT-2.3.6,implements_activity
ZIG-ACT-2.2.1,T1610,mitigates
ZIG-ACT-4.4.3,T1222,mitigates
ZIG-ACT-3.2.2,T1554,mitigates
CREF-APP-4,T1202,mitigates_architecturally
CREF-TECH-12,CREF-STU-10,informs_principle
CM1147,ZIG-ACT-2.2.1,implements_activity
CM1164,CM-7(2),satisfies_control
CREF-APP-8,T1021,mitigates_architecturally
ZIG-ACT-2.7.2,T1220,mitigates
CM1147,ZIG-ACT-3.2.1,implements_activity
ZIG-ACT-7.5.1,T1105,mitigates
ZIG-ACT-6.1.2,T1543,mitigates
ZIG-ACT-7.6.2,T1611,mitigates
M1041,SC-8(1),satisfies_control
ZIG-ACT-1.5.2,T1495,mitigates
ZIG-ACT-4.6.2,T1602,mitigates
CM1125,IA-3(1),satisfies_control
CM1154,ZIG-ACT-3.4.1,implements_activity
CREF-TECH-1,CREF-STA-1,informs_principle
ZIG-ACT-7.4.1,T1137,mitigates
CSA-09,CREF-TECH-1,associated_with_technique
ZIG-ACT-1.2.1,T1055,mitigates
CREF-APP-22,CREF-EFFECT-15,has_effect
CM1144,ZIG-ACT-1.6.2,implements_activity
ZIG-ACT-4.5.1,T1187,mitigates
CM2003,T1068,mitigates
ZIG-ACT-1.5.2,T1490,mitigates
ZIG-ACT-4.4.3,T1087,mitigates
